NAME,NESTAB,NAICS2017,state,county
"Blue Earth County, Minnesota",173,6244,27,013
"Houston County, Minnesota",67,6244,27,055
"Lac qui Parle County, Minnesota",22,6244,27,073
"Lake of the Woods County, Minnesota",15,6244,27,077
"Otter Tail County, Minnesota",217,6244,27,111
"Waseca County, Minnesota",43,6244,27,161
"St. Louis County, Minnesota",266,6244,27,137
"Anoka County, Minnesota",707,6244,27,003
"Stearns County, Minnesota",529,6244,27,145
"Dakota County, Minnesota",814,6244,27,037
"Lincoln County, Minnesota",25,6244,27,081
"Lyon County, Minnesota",106,6244,27,083
"Marshall County, Minnesota",34,6244,27,089
"Mille Lacs County, Minnesota",59,6244,27,095
"Renville County, Minnesota",38,6244,27,129
"Washington County, Minnesota",524,6244,27,163
"Carlton County, Minnesota",71,6244,27,017
"Cook County, Minnesota",5,6244,27,031
"Kanabec County, Minnesota",33,6244,27,065
"Swisher County, Texas",22,6244,48,437
"Hunt County, Texas",104,6244,48,231
"Camp County, Texas",26,6244,48,063
"Hansford County, Texas",0,6244,48,195
"Guadalupe County, Texas",172,6244,48,187
"Clay County, Texas",9,6244,48,077
"Hill County, Texas",48,6244,48,217
"Limestone County, Texas",29,6244,48,293
"Nacogdoches County, Texas",70,6244,48,347
"Parmer County, Texas",11,6244,48,369
"Parker County, Texas",153,6244,48,367
"Presidio County, Texas",11,6244,48,377
"Val Verde County, Texas",98,6244,48,465
"Ector County, Texas",161,6244,48,135
"Garza County, Texas",6,6244,48,169
"Grimes County, Texas",42,6244,48,185
"Travis County, Texas",1218,6244,48,453
"Collin County, Texas",1317,6244,48,085
"Hays County, Texas",211,6244,48,209
"Angelina County, Texas",125,6244,48,005
"Collingsworth County, Texas",5,6244,48,087
"Cottle County, Texas",3,6244,48,101
"Erath County, Texas",44,6244,48,143
"Brazoria County, Texas",601,6244,48,039
"Donley County, Texas",4,6244,48,129
"Atascosa County, Texas",52,6244,48,013
"Coleman County, Texas",15,6244,48,083
"Nolan County, Texas",14,6244,48,353
"Hudspeth County, Texas",0,6244,48,229
"Medina County, Texas",71,6244,48,325
"Ward County, Texas",7,6244,48,475
"Henderson County, Texas",115,6244,48,213
"Harrison County, Texas",101,6244,48,203
"Lamar County, Texas",95,6244,48,277
"Fayette County, Texas",28,6244,48,149
"Williamson County, Texas",691,6244,48,491
"Kimble County, Texas",12,6244,48,267
"Hutchinson County, Texas",14,6244,48,233
"Washington County, Texas",37,6244,48,477
"Morris County, Texas",48,6244,48,343
"Orange County, Texas",121,6244,48,361
"Stephens County, Texas",9,6244,48,429
"Winkler County, Texas",9,6244,48,495
"Harris County, Texas",11720,6244,48,201
"Andrews County, Texas",15,6244,48,003
"Burnet County, Texas",31,6244,48,053
"Gillespie County, Texas",22,6244,48,171
"Gonzales County, Texas",28,6244,48,177
"Dallas County, Texas",5341,6244,48,113
"Lynn County, Texas",8,6244,48,305
"Young County, Texas",19,6244,48,503
"Zapata County, Texas",61,6244,48,505
"Johnson County, Texas",230,6244,48,251
"Hood County, Texas",48,6244,48,221
"Hopkins County, Texas",31,6244,48,223
"Ochiltree County, Texas",13,6244,48,357
"Knox County, Texas",5,6244,48,275
"McLennan County, Texas",297,6244,48,309
"Cherokee County, Texas",70,6244,48,073
"Delta County, Texas",5,6244,48,119
"Eastland County, Texas",17,6244,48,133
"Jones County, Texas",23,6244,48,253
"Jim Hogg County, Texas",11,6244,48,247
"Jim Wells County, Texas",135,6244,48,249
"Montgomery County, Texas",791,6244,48,339
"Dallam County, Texas",12,6244,48,111
"Dimmit County, Texas",18,6244,48,127
"Webb County, Texas",750,6244,48,479
"Fort Bend County, Texas",1480,6244,48,157
"Armstrong County, Texas",4,6244,48,011
"Castro County, Texas",7,6244,48,069
"Irion County, Texas",3,6244,48,235
"Crosby County, Texas",5,6244,48,107
"Kleberg County, Texas",82,6244,48,273
"Willacy County, Texas",62,6244,48,489
"Cooke County, Texas",69,6244,48,097
"Dawson County, Texas",6,6244,48,115
"Fisher County, Texas",0,6244,48,151
"Duval County, Texas",34,6244,48,131
"Burleson County, Texas",29,6244,48,051
"Blanco County, Texas",8,6244,48,031
"Dale County, Alabama",61,6244,01,045
"Hale County, Alabama",24,6244,01,065
"Etowah County, Alabama",119,6244,01,055
"DeKalb County, Alabama",76,6244,01,049
"Escambia County, Alabama",77,6244,01,053
"Lamar County, Alabama",12,6244,01,075
"Randolph County, Alabama",24,6244,01,111
"Butler County, Alabama",40,6244,01,013
"Mobile County, Alabama",833,6244,01,097
"Perry County, Alabama",16,6244,01,105
"Walker County, Alabama",60,6244,01,127
"Cleburne County, Alabama",17,6244,01,029
"Conecuh County, Alabama",30,6244,01,035
